_id,communicationType,communicationSubType,model,variant,alternateModelName,url,activeFlag,channel
6513ca17d3e50c4536c38137,SMS,vehicleBrochure,JIMNY,Non Tour,,https://nexaprod2.azureedge.net/-/media/feature/nexawebsitecarbrand/rocky/jimny-brochure.pdf,true,
6513ca17d3e50c4536c38138,SMS,vehicleBrochure,GRAND VITARA,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/grand-vitara_brochure.pdf,true,
6513ca17d3e50c4536c38139,SMS,vehicleBrochure,INVICTO,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsitecarbrand/invicto/invicto-brochure_invicto-pdf.pdf,true,
6513ca17d3e50c4536c3813a,SMS,vehicleBrochure,XL6,Non Tour,,https://nexaprod2.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/xl6-brochure-for-digital.pdf,true,
6513ca17d3e50c4536c3813c,SMS,vehicleBrochure,BALENO,Non Tour,NEW BALENO,https://nexaprod1.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/the-new-age-baleno_new_brochure.pdf,true,
6513ca17d3e50c4536c3813d,SMS,vehicleBrochure,IGNIS,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/ignis-brochure.pdf,true,
6513ca17d3e50c4536c38140,SMS,vehicleBooking,,Non Tour,,https://www.nexaexperience.com/e-booking?login=0%26utm_source=crm%26utm_medium=sms%26utm_content=ebook%26utm_campaign=callcentre_tollfree_crm,true,Nexa
6513ca17d3e50c4536c38141,SMS,vehicleBooking,,Non Tour,,https://www.marutisuzuki.com/channels/arena/service/ebook-car?utm_source=crm%26utm_medium=sms%26utm_content=ebook%26utm_campaign=callcentre_tollfree_crm,true,Arena
6513ca17d3e50c4536c3813e,SMS,testDriveBooking,,Non Tour,,https://www.nexaexperience.com/book-test-drive?utm_source=crm%26utm_medium=sms%26utm_content=btd%26utm_campaign=callcentre_tollfree_crm\n,true,Nexa
6513ca17d3e50c4536c38142,SMS,showRoomVisit,,Non Tour,,https://www.marutisuzuki.com/book-showroom-visit?utm_source=crm%26utm_medium=sms%26utm_content=bs%26utm_campaign=callcentre_tollfree_crm,true,Arena
6513ca17d3e50c4536c38143,SMS,showRoomVisit,,Non Tour,,https://www.nexaexperience.com/book-showroom-visit?utm_source=crm%26utm_medium=sms%26utm_content=bs%26utm_campaign=callcentre_tollfree_crm,true,Nexa
6513ca17d3e50c4536c3813f,SMS,testDriveBooking,,Non Tour,,https://www.marutisuzuki.com/book-a-test-drive?utm_source=crm%26utm_medium=sms%26utm_content=btd%26utm_campaign=callcentre_tollfree_crm\n,true,Arena
65b23a2bcbbf47927232a7be,SMS,vehicleBrochure,DZIRE,Tour,NEW SWIFT DZIRE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w,true,
6513ca17d3e50c4536c3813b,SMS,vehicleBrochure,CIAZ,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/all_new_ciaz-brochure.pdf,true,
6513ca17d3e52f4536c3812a,SMS,vehicleBrochure,DZIRE,Tour,SWIFT DZIRE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w,true,
667a8c14c4c0cb6f1db22098,SMS,vehicleBrochure,FRONX,Tour,,https://nexaprod5.azureedge.net/-/media/feature/nexawebsitecarbrand/flash/fronx-brochurenew.pdf#element_submenu,true,
667a8c62c4c0cb6f1db22099,SMS,vehicleBrochure,DZIRE (DI),Tour,,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,true,
667a8c74c4c0cb6f1db2209a,SMS,vehicleBrochure,DZIRE (DI),Non Tour,,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,true,
667a8c8ac4c0cb6f1db2209b,SMS,vehicleBrochure,DZIRE (DR),Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*bj3t30*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE2My4zNS4wLjA.,true,
667a8c9bc4c0cb6f1db2209c,SMS,vehicleBrochure,DZIRE (DR),Non Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tour-m/document/tourm_leaflet.pdf?_gl=1*bj3t30*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDE2My4zNS4wLjA.,true,
6513ca17d3e50c4536c38144,SMS,vehicleBrochure,DAZZLING NEW DZIRE,Non Tour,DAZZLING NEW DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire-Product-Brochure.pdf,true,
6513ca17d3e50c4536c38145,SMS,vehicleBrochure,DAZZLING NEW DZIRE,Tour,DAZZLING NEW DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire-Product-Brochure.pdf,true,
6513ca17d3e50c4536c11135,SMS,vehicleBrochure,SUPER CARRY,Tour,,https://www.marutisuzukicommercial.com/content/dam/msil/commercial/in/en/assets/documents/ESPSuperCarryLeafletA4-Eng.pdf,true,
6513ca17d3e50c4536c38135,SMS,vehicleBrochure,SUPER CARRY,Non Tour,,https://www.marutisuzukicommercial.com/content/dam/msil/commercial/in/en/assets/documents/ESPSuperCarryLeafletA4-Eng.pdf,true,
68c9a04b8988c2632c4b4518,SMS,vehicleBrochure,VICTORIS,Tour,VICTORIS,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/victoris/documents/Arena-Victoris-Brochure.pdf,true,
68c9a07a8988c2632c4b4519,SMS,vehicleBrochure,VICTORIS,Non Tour,VICTORIS,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/victoris/documents/Arena-Victoris-Brochure.pdf,true,
6969fb5a7c87da909859de7d,SMS,vehicleBrochure,THE EPIC SWIFT,Non Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,true,
6969fb867c87da909859de7e,SMS,vehicleBrochure,THE EPIC SWIFT,Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,true,
6969fd117c87da909859de8a,SMS,vehicleBrochure,EPIC NEW SWIFT,Non Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,true,
6969fd337c87da909859de8b,SMS,vehicleBrochure,EPIC NEW SWIFT,Tour,THE EPIC SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swift_Vertical_Brochure_final_highres.pdf,true,
6995a6333468c23f22f98617,SMS,vehicleBrochure,E VITARA,Non Tour,E VITARA,https://www.nexaexperience.com/content/dam/msil/ev/in/en/assets/cars/e-vitara/brochure/eVITARA_Brochure.pdf,true,
6995a64b3468c23f22f98618,SMS,vehicleBrochure,E VITARA,Tour,E VITARA,https://www.nexaexperience.com/content/dam/msil/ev/in/en/assets/cars/e-vitara/brochure/eVITARA_Brochure.pdf,true,
