communicationType,communicationSubType,model,variant,alternateModelName,url,activeFlag,Updated URL
SMS,vehicleBrochure,NEW SWIFT DZIRE,Tour,,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w,TRUE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w
SMS,vehicleBrochure,WAGONR,Tour,TOUR H3,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tourh3/document/tourh3_leaflet.pdf?_gl=1*mjfzdl*_ga*MTk2MDQ3MTUyNC4xNjk1MzYyMzgz*_ga_M8CBMSMWSG*MTcxNDc0Mzk0Ni43LjEuMTcxNDc0NDEwNy4xMy4wLjA.,TRUE,https://az-ci-afde-prd-arena-03-efddeyfchzf9akbb.z01.azurefd.net/msilintiwebpdfcopyfromdefault/27112025WagonR_Tour_H3_Leaflet_A4.pdf
SMS,vehicleBrochure,CELERIO,Non Tour,NEW CELERIO,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/15_Page_Brochure_Celerio_Digital.pdf,TRUE,https://www.marutisuzuki.com/content/dam/msil/arena/in/en/assets/cars/celerio/documents/Arena-Celerio-Brochure.pdf
SMS,vehicleBrochure,CELERIO,Tour,,NA,TRUE,
SMS,vehicleBrochure,SWIFT,Non Tour,NEW SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/EpicNewSwift_Brochure_Vertical.pdf,TRUE,
SMS,vehicleBrochure,SWIFT,Tour,NEW SWIFT,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Swfit_Brand_Brochure.pdf,TRUE,
SMS,vehicleBrochure,DZIRE,Non Tour,SWIFT DZIRE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf,TRUE,https://marutistoragenew.blob.core.windows.net/msilintiwebpdf/Dzire_6_Pages_Vertical_Web_Brochure_Updated_with_S_CNG.pdf
SMS,vehicleBrochure,JIMNY,Non Tour,,https://nexaprod2.azureedge.net/-/media/feature/nexawebsitecarbrand/rocky/jimny-brochure.pdf,TRUE,https://www.nexaexperience.com/pdf-viewer?pdf=%2Fcontent%2Fdam%2Fmsil%2Fnexa%2Fin%2Fen%2Fassets%2Fcars%2Fjimny%2Fdocuments%2FNEXA-Jimny-Brochure.pdf
SMS,vehicleBrochure,GRAND VITARA,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/grand-vitara_brochure.pdf,TRUE,https://www.nexaexperience.com/pdf-viewer?pdf=%2Fcontent%2Fdam%2Fmsil%2Fnexa%2Fin%2Fen%2Fassets%2Fcars%2Fgrand-vitara%2Fsigma%2Fdocuments%2FNEXA-Grand-Vitara-Brochure.pdf
SMS,vehicleBrochure,INVICTO,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsitecarbrand/invicto/invicto-brochure_invicto-pdf.pdf,TRUE,https://www.nexaexperience.com/pdf-viewer?pdf=%2Fcontent%2Fdam%2Fmsil%2Fnexa%2Fin%2Fen%2Fassets%2Fcars%2Finvicto%2Fdocuments%2FNEXA-Invicto-Brochure-old.pdf
